75000 135495
1 2 982531224
1 3 452458899
1 4 -512200225
4 5 671905787
2 6 -489836245
6 7 -392376715
4 8 866945033
3 9 852666852
4 10 273393016
9 11 520806115
2 12 66893355
7 13 620993952
4 14 -133382948
2 15 780020212
11 16 -680044570
7 17 868477583
15 18 247447334
11 19 53453010
19 20 -335887029
11 21 -694949077
16 22 -734013053
3 23 402690752
11 24 68404030
21 25 729444277
5 26 39866054
14 27 -394512968
23 28 94922535
1 29 788861410
18 30 846374451
15 31 -244710108
7 32 -414898654
5 33 562289383
22 34 -775315869
5 35 590894270
10 36 243261917
10 37 363016225
17 38 902458952
33 39 417148908
32 40 -5750656
36 41 895090720
34 42 278100877
23 43 -95145068
10 44 -323959566
29 45 607083090
37 46 -234905552
29 47 507912567
14 48 -860158748
14 49 -484187113
14 50 417492991
17 51 -835033627
4 52 -557062597
44 53 -165049350
10 54 -814967242
15 55 808307841
30 56 463227245
34 57 -529859460
16 58 610775005
6 59 614981018
49 60 307924027
25 61 -407135772
29 62 -160848545
9 63 -10909414
9 64 -308836645
50 65 429817309
44 66 601518448
54 67 -356416236
52 68 731520045
29 69 684151966
24 70 66258282
33 71 158770756
9 72 52032387
7 73 493420328
9 74 -756868251
68 75 -313571470
52 76 285888419
38 77 -689657520
25 78 161725638
66 79 42342475
19 80 416943306
69 81 552508444
61 82 957275762
75 83 -924022894
81 84 991513326
51 85 474764677
77 86 -509691098
61 87 -339635920
50 88 352239
4 89 -829989461
82 90 39129608
7 91 775556317
5 92 -171315107
42 93 -508957065
61 94 784021810
8 95 995068254
46 96 -827413541
34 97 -773466602
95 98 926010695
58 99 983928998
86 100 -717296011
60 101 177165625
24 102 883274865
86 103 86890892
35 104 163763638
85 105 -569263350
54 106 -709825553
2 107 -12051067
104 108 572841614
77 109 390463078
105 110 402382292
1 111 543265004
103 112 751863814
66 113 856113772
21 114 489022818
81 115 -988001016
37 116 311156646
81 117 571601060
6 118 -304864031
31 119 126663605
51 120 -945992393
86 121 309122117
22 122 121871345
84 123 -19297958
77 124 993435274
55 125 369252954
24 126 -364998557
99 127 -293249362
23 128 63691270
30 129 833637580
7 130 -452748067
43 131 34093193
120 132 886547091
56 133 830157909
100 134 -843730120
30 135 -652641243
43 136 12010330
134 137 388146399
10 138 -73628184
18 139 -99430478
1 140 851682167
27 141 864960706
82 142 538123653
67 143 -856756238
41 144 -228024758
75 145 -804714491
96 146 903082096
140 147 -576660339
